State,City,AQI,Primary_Pollutant
Andaman and Nicobar Islands,Sri Vijaya Puram,57.7,PM10
Andhra Pradesh,Amaravati,69.0,PM10
Andhra Pradesh,Anantapur,67.2,PM10
Andhra Pradesh,Chittoor,74.0,PM2.5
Andhra Pradesh,Kadapa,66.9,PM2.5
Andhra Pradesh,Rajamahendravaram,76.8,PM10
Andhra Pradesh,Tirumala,75.8,PM2.5
Andhra Pradesh,Tirupati,68.3,PM2.5
Andhra Pradesh,Vijayawada,71.9,"PM2.5,PM10"
Andhra Pradesh,Visakhapatnam,116.1,PM10
Arunachal Pradesh,Naharlagun,54.5,PM2.5
Assam,Byrnihat,240.0,PM2.5
Assam,Guwahati,119.7,PM2.5
Assam,Nagaon,111.2,PM2.5
Assam,Nalbari,144.4,PM2.5
Assam,Silchar,47.5,PM10
Assam,Sivasagar,47.9,PM10
Bihar,Araria,165.1,PM2.5
Bihar,Arrah,153.6,PM10
Bihar,Aurangabad,150.5,PM10
Bihar,Begusarai,206.7,PM2.5
Bihar,Bettiah,162.2,PM10
Bihar,Bhagalpur,164.7,PM2.5
Bihar,Bihar Sharif,134.8,PM10
Bihar,Buxar,152.1,PM10
Bihar,Chhapra,176.2,PM10
Bihar,Darbhanga,190.1,PM10
Bihar,Gaya,126.4,"PM2.5,PM10"
Bihar,Hajipur,164.5,PM10
Bihar,Katihar,161.8,PM2.5
Bihar,Kishanganj,139.6,PM10
Bihar,Manguraha,102.2,PM10
Bihar,Motihari,139.4,PM10
Bihar,Munger,158.9,PM10
Bihar,Muzaffarpur,161.4,PM2.5
Bihar,Patna,179.9,"PM2.5,PM10"
Bihar,Purnia,161.5,PM2.5
Bihar,Rajgir,145.8,PM10
Bihar,Saharsa,169.9,PM2.5
Bihar,Samastipur,170.9,PM10
Bihar,Sasaram,135.0,PM2.5
Bihar,Siwan,181.2,PM2.5
Chandigarh,Chandigarh,141.6,PM2.5
Chhattisgarh,Bhilai,72.5,PM10
Chhattisgarh,Bilaspur,69.0,PM10
Chhattisgarh,Chhal,76.0,PM10
Chhattisgarh,Korba,73.0,PM10
Chhattisgarh,Kunjemura,108.8,PM10
Chhattisgarh,Milupara,73.1,PM10
Chhattisgarh,Raipur,80.2,PM10
Chhattisgarh,Tumidih,91.3,PM10
Delhi,Delhi,206.4,"PM2.5,PM10"
Gujarat,Ahmedabad,113.6,"PM2.5,PM10"
Gujarat,Ankleshwar,108.9,PM2.5
Gujarat,Gandhi Nagar,94.0,"PM2.5,PM10"
Gujarat,Nandesari,107.8,PM2.5
Gujarat,Surat,116.6,PM2.5
Gujarat,Vapi,135.7,PM2.5
Gujarat,Vatva,104.6,PM10
Haryana,Ambala,111.2,PM2.5
Haryana,Bahadurgarh,165.3,PM10
Haryana,Ballabgarh,155.5,PM10
Haryana,Bhiwani,141.2,PM2.5
Haryana,Charkhi Dadri,155.4,PM2.5
Haryana,Dharuhera,185.7,PM10
Haryana,Faridabad,181.9,"PM2.5,PM10"
Haryana,Fatehabad,145.9,PM2.5
Haryana,Gurugram,190.8,PM2.5
Haryana,Hisar,150.7,PM2.5
Haryana,Jind,141.5,PM2.5
Haryana,Kaithal,138.5,PM10
Haryana,Karnal,108.8,PM10
Haryana,Kurukshetra,135.0,PM2.5
Haryana,Mandikhera,90.7,PM10
Haryana,Manesar,151.8,PM2.5
Haryana,Narnaul,116.7,PM2.5
Haryana,Palwal,93.2,PM10
Haryana,Panchgaon,130.5,O3
Haryana,Panchkula,111.6,PM2.5
Haryana,Panipat,128.2,PM10
Haryana,Rohtak,149.6,PM2.5
Haryana,Sirsa,126.1,PM10
Haryana,Sonipat,156.2,PM10
Haryana,Yamunanagar,137.2,PM10
Himachal Pradesh,Baddi,160.3,PM10
Jammu and Kashmir,Srinagar,69.5,PM10
Jharkhand,Dhanbad,173.4,PM10
Jharkhand,Jorapokhar,144.6,PM10
Jharkhand,Pathardih,103.6,PM10
Karnataka,Bagalkot,46.5,PM10
Karnataka,Belgaum,69.8,PM10
Karnataka,Bengaluru,74.9,"PM2.5,PM10"
Karnataka,Bidar,80.9,PM10
Karnataka,Chamarajanagar,43.1,PM10
Karnataka,Chikkaballapur,64.0,PM10
Karnataka,Chikkamagaluru,47.5,PM10
Karnataka,Davanagere,56.9,PM10
Karnataka,Dharwad,73.5,PM10
Karnataka,Gadag,55.2,PM10
Karnataka,Hassan,63.1,PM10
Karnataka,Haveri,67.8,PM10
Karnataka,Hubballi,72.2,PM10
Karnataka,Kalaburagi,64.4,PM10
Karnataka,Karwar,58.0,PM10
Karnataka,Kolar,76.5,PM10
Karnataka,Koppal,68.6,CO
Karnataka,Madikeri,37.8,PM10
Karnataka,Mangalore,70.4,PM10
Karnataka,Mysuru,51.0,PM10
Karnataka,Raichur,94.1,CO
Karnataka,Ramanagara,60.6,PM10
Karnataka,Shivamogga,54.8,PM10
Karnataka,Tumakuru,102.7,PM10
Karnataka,Udupi,69.7,CO
Karnataka,Vijayapura,50.4,PM10
Karnataka,Yadgir,65.6,PM10
Kerala,Eloor,63.3,PM10
Kerala,Ernakulam,46.9,CO
Kerala,Kannur,66.0,PM10
